churn_intent,satisfaction_score,nps,engagement_count,services_count,loyalty_tier,tenure_months,avg_monthly_spend,upgrade_willingness,value_for_money,pref_channel,network_quality_score,service_quality_score,plan_flexibility,retention_incentives,pain_points,digital_literacy,income_bracket,age_group,payment_method,multi_sim_usage,price_quality_weight,churn_flag
4,5.8,8,14,3,Gold,18,20.49,2,3,SMS,4,3,3,Streaming subscription,,Advanced,<5k,25-34,Credit card,No,3,1
5,5.9,6,10,2,Gold,39,29.08,3,3,SMS,2,2,5,"Streaming subscription, Price discount, Extra data",Poor support,Intermediate,5-10k,55+,Cash,Yes,10,1
1,6.8,6,21,2,Bronze,23,59.55,4,2,App push,3,4,1,"Price discount, Extra data",Hidden fees,Intermediate,20k+,35-44,Debit card,Yes,6,0
4,7.8,8,11,1,Gold,23,47.4,1,1,Email,4,1,1,"Extra data, Price discount",Poor support,Beginner,10-20k,35-44,Cash,No,5,1
1,8.7,6,18,2,Gold,24,19.09,4,3,App push,4,2,3,"Loyalty points, Price discount, Extra data","Billing errors, Slow data",Advanced,10-20k,18-24,Auto-pay,No,10,0
5,5.9,6,13,2,Silver,6,9.14,4,2,App push,3,5,5,"Device upgrade, Price discount",Hidden fees,Advanced,10-20k,18-24,Credit card,Yes,8,1
2,9.6,10,14,2,Bronze,19,52.57,4,4,SMS,4,5,3,"Loyalty points, Price discount, Streaming subscription","Poor support, Billing errors",Intermediate,10-20k,18-24,Cash,Yes,7,0
1,6.8,8,14,4,Silver,52,51.81,1,1,SMS,4,5,2,"Loyalty points, Device upgrade",,Beginner,10-20k,45-54,Credit card,Yes,9,0
2,7.2,6,10,2,Platinum,27,11.57,2,3,App push,3,5,4,,"Slow data, Dropped calls, Poor support",Intermediate,<5k,35-44,Debit card,No,7,0
5,6.0,6,15,1,Silver,7,56.27,5,5,App push,4,5,5,"Streaming subscription, Price discount, Device upgrade","Dropped calls, Slow data",Intermediate,5-10k,35-44,Credit card,No,5,1
4,3.3,2,14,3,Bronze,8,30.27,3,1,Email,2,2,5,Price discount,"Dropped calls, Poor support, Hidden fees",Beginner,<5k,18-24,Credit card,No,6,1
1,8.6,9,17,2,Silver,10,26.8,5,3,SMS,5,5,5,Streaming subscription,,Beginner,20k+,55+,Credit card,Yes,9,0
